交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/09/16,TX,202609  ,45534,46093,45518,45759,167,0.37%,28491,0,9684,45759,45760,49651,24962,,一般,,
2026/09/16,TX,202609  ,45533,45736,45330,45529,-63,-0.14%,22905,-,-,45509,45536,49651,24962,,盤後,,
2026/09/16,TX,202610  ,45687,46242,45678,46078,351,0.77%,36544,46060,95896,46074,46078,47780,39852,,一般,,
2026/09/16,TX,202610  ,45684,45856,45475,45640,-87,-0.19%,5534,-,-,45623,45645,47780,39852,,盤後,,
2026/09/16,TX,202611  ,45878,46349,45878,46200,314,0.68%,88,46222,467,46218,46226,47932,44435,,一般,,
2026/09/16,TX,202611  ,45826,45988,45688,45790,-96,-0.21%,40,-,-,45774,45805,47932,44435,,盤後,,
2026/09/16,TX,202612  ,46146,46488,46009,46243,272,0.59%,226,46328,692,46322,46334,50228,27382,,一般,,
2026/09/16,TX,202612  ,45950,46000,45800,45935,-36,-0.08%,10,-,-,45893,45937,50228,27382,,盤後,,
2026/09/16,TX,202703  ,46658,46905,46585,46743,236,0.51%,14,46825,110,46817,46833,50802,32400,,一般,,
2026/09/16,TX,202703  ,46567,46567,46567,46567,60,0.13%,1,-,-,46388,46455,50802,32400,,盤後,,
2026/09/16,TX,202706  ,47122,47346,47122,47150,219,0.47%,6,47270,66,47259,47281,51411,41461,,一般,,
2026/09/16,TX,202706  ,46881,47000,46800,46800,-131,-0.28%,7,-,-,46818,46890,51411,41461,,盤後,,
2026/09/17,TX,202610  ,46495,47037,46376,46445,385,0.84%,50102,46459,99476,46445,46450,47780,39852,,一般,,
2026/09/17,TX,202610  ,46153,46626,46056,46382,322,0.70%,32283,-,-,46362,46381,47780,39852,,盤後,,
2026/09/17,TX,202611  ,46659,47150,46550,46613,391,0.85%,230,46616,527,46601,46610,47932,44435,,一般,,
2026/09/17,TX,202611  ,46329,46764,46251,46533,311,0.67%,256,-,-,46517,46544,47932,44435,,盤後,,
2026/09/17,TX,202612  ,46810,47255,46664,46805,477,1.03%,39,46718,704,46713,46724,50228,27382,,一般,,
2026/09/17,TX,202612  ,46516,46858,46400,46400,72,0.16%,31,-,-,46622,46658,50228,27382,,盤後,,
2026/09/17,TX,202703  ,47212,47650,47212,47250,425,0.91%,11,47206,104,47200,47213,50802,32400,,一般,,
2026/09/17,TX,202703  ,46982,46982,46950,46950,125,0.27%,2,-,-,47112,47156,50802,32400,,盤後,,
2026/09/17,TX,202706  ,47640,48127,47640,47738,468,0.99%,16,47679,63,47660,47699,51411,41461,,一般,,
2026/09/17,TX,202706  ,47500,47500,47385,47385,115,0.24%,3,-,-,47562,47621,51411,41461,,盤後,,
2026/09/17,TX,202709  ,47643,48000,47604,47983,841,1.78%,25,47690,17,47669,47711,48000,47604,,一般,,
2026/09/16,TX,202609/202610    ,155,272,144,231,-,-,1946,-,-,195,260,272,71,,一般,6980,
2026/09/16,TX,202609/202610    ,131,140,97,101,-,-,285,-,-,109,114,238,71,,盤後,1615,
2026/09/16,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,6,-,408,305,,一般,6,
2026/09/16,TX,202609/202611    ,-,-,-,-,-,-,0,-,-,41,275,408,305,,盤後,4,
